goal,success,depth,elapsed_s,model,timeout,use_calls,steps_len
surj f237 ⟷ (∀y237. ∃x237. f237 x237 = y237),True,1,9.817834854125977,gemini-3-flash-preview,False,58,2
r352p ⊆ r352 ⟹ s352p ⊆ s352 ⟹ r352p O s352p ⊆ r352 O s352,True,1,6.596196413040161,gemini-3-flash-preview,False,60,2
bij_betw f236 A236 B236 ⟹ inj_on f236 A236,True,1,10.926575660705566,gemini-3-flash-preview,False,63,2
(m134::nat) ≤ m134 + (n134::nat),True,1,8.869174003601074,gemini-3-flash-preview,False,65,2
(converse (r381 O s381)) = converse s381 O converse r381,True,1,9.691839933395386,gemini-3-flash-preview,False,67,2
(m375::nat) ≤ m375,True,1,6.785680770874023,gemini-3-flash-preview,False,69,2
{x159∈A159. True} = A159,True,1,9.283526420593262,gemini-3-flash-preview,False,71,2
(a208::nat) + (b208::nat) = b208 + a208,True,1,9.09476613998413,gemini-3-flash-preview,False,73,2
¬(A44 ∧ B44) ⟷ (¬A44 ∨ ¬B44),True,1,6.551599502563477,gemini-3-flash-preview,False,75,2
(A206 ⟶ C206) ⟶ ((B206 ⟶ C206) ⟶ (A206 ∨ B206 ⟶ C206)),True,1,4.192928791046143,gemini-3-flash-preview,False,77,2
(m267::nat) ≤ m267,True,1,6.786441087722778,gemini-3-flash-preview,False,79,2
B333 ⟶ A333 ∨ B333,True,1,4.20380163192749,gemini-3-flash-preview,False,81,2
(m63::nat) ≤ m63,True,1,6.792555809020996,gemini-3-flash-preview,False,83,2
length (map f266 xs266) = length xs266,True,1,8.931260347366333,gemini-3-flash-preview,False,85,2
(m347::nat) + ((n347::nat) + m347) = n347 + (m347 + m347),True,1,6.753375768661499,gemini-3-flash-preview,False,87,2
rev (xs473 @ ys473) = rev ys473 @ rev xs473,True,1,6.789933443069458,gemini-3-flash-preview,False,89,2
x232 ∈ insert x232 A232,True,1,6.774438858032227,gemini-3-flash-preview,False,91,2
Id O r154 = r154,True,1,6.695263624191284,gemini-3-flash-preview,False,93,2
bij_betw f47 A47 B47 ⟹ y47 ∈ B47 ⟹ (∃x47∈A47. f47 x47 = y47),True,1,13.843952417373657,gemini-3-flash-preview,False,95,2
r72p ⊆ r72 ⟹ s72p ⊆ s72 ⟹ r72p O s72p ⊆ r72 O s72,True,1,6.853196620941162,gemini-3-flash-preview,False,97,2
(a5::nat) + ((b5::nat) + a5) = b5 + (a5 + a5),True,1,6.890775442123413,gemini-3-flash-preview,False,99,2
{x359∈A359. P x359} ⊆ A359,True,1,11.102721452713013,gemini-3-flash-preview,False,101,2
(m185::nat) + ((n185::nat) + m185) = n185 + (m185 + m185),True,1,6.818190097808838,gemini-3-flash-preview,False,103,2
(a323::nat) + ((b323::nat) + a323) = b323 + (a323 + a323),True,1,6.726962566375732,gemini-3-flash-preview,False,105,2
set (map f132 xs132) = f132 ` set xs132,True,1,6.639554023742676,gemini-3-flash-preview,False,107,2
(m227::nat) + ((n227::nat) + m227) = n227 + (m227 + m227),True,1,6.876174449920654,gemini-3-flash-preview,False,109,2
inj f46 ⟷ (∀x46 y46. f46 x46 = f46 y46 ⟶ x46 = y46),True,1,13.742039203643799,gemini-3-flash-preview,False,112,2
Id O r336 = r336,True,1,6.7890965938568115,gemini-3-flash-preview,False,114,2
Id O r91 = r91,True,1,6.783827304840088,gemini-3-flash-preview,False,116,2
A297 ∩ (B297 ∪ C297) = (A297 ∩ B297) ∪ (A297 ∩ C297),True,1,6.745713233947754,gemini-3-flash-preview,False,118,2
A153 ⊆ B153 ⟹ A153 ∩ C153 ⊆ B153 ∩ C153,True,1,6.511010408401489,gemini-3-flash-preview,False,120,2
(m309::nat) ≤ m309,True,1,6.997459411621094,gemini-3-flash-preview,False,122,2
Id O r224 = r224,True,1,8.142975807189941,gemini-3-flash-preview,False,124,2
(a60::int) + (-a60) = 0,True,1,6.941222429275513,gemini-3-flash-preview,False,126,2
(a326::int) - a326 = 0,True,1,6.599900007247925,gemini-3-flash-preview,False,128,2
(m100::nat) + (n100::nat) = n100 + m100,True,1,6.713019847869873,gemini-3-flash-preview,False,130,2
(m387::nat) ≤ m387,True,1,6.612855434417725,gemini-3-flash-preview,False,132,2
(m266::nat) ≤ m266 + (n266::nat),True,1,7.234207391738892,gemini-3-flash-preview,False,134,2
trans r188 ⟹ r188 O r188 ⊆ r188,True,1,6.985109329223633,gemini-3-flash-preview,False,136,2
converse (converse r39) = r39,True,1,6.738460063934326,gemini-3-flash-preview,False,138,2
inj_on f216 A216 ⟷ (∀x216∈A216. ∀y216∈A216. f216 x216 = f216 y216 ⟶ x216 = y216),True,1,9.304807901382446,gemini-3-flash-preview,False,140,2
(a46::nat) + (b46::nat) = b46 + a46,True,1,6.967697858810425,gemini-3-flash-preview,False,142,2
(a300::int) + (-a300) = 0,True,1,9.113952159881592,gemini-3-flash-preview,False,144,2
length (map f26 xs26) = length xs26,True,1,6.870065927505493,gemini-3-flash-preview,False,146,2
Id O r238 = r238,True,1,6.557208776473999,gemini-3-flash-preview,False,148,2
rev (rev xs472) = xs472,True,1,6.694007396697998,gemini-3-flash-preview,False,150,2
A220 - (B220 ∪ C220) = (A220 - B220) ∩ (A220 - C220),True,1,6.604748964309692,gemini-3-flash-preview,False,152,2
(A307 ⟶ B307) ⟷ (¬A307 ∨ B307),True,1,7.733631134033203,gemini-3-flash-preview,False,154,2
(a372::int) + (-a372) = 0,True,1,6.60042929649353,gemini-3-flash-preview,False,156,2
A230 ∧ B230 ⟶ A230,True,1,4.206078290939331,gemini-3-flash-preview,False,158,2
{x29∈A29. P x29} ⊆ A29,True,1,9.38501262664795,gemini-3-flash-preview,False,160,2
(m339::nat) ≤ m339,True,1,8.422181129455566,gemini-3-flash-preview,False,162,2
filter P86 (xs86 @ ys86) = filter P86 xs86 @ filter P86 ys86,True,1,6.497413635253906,gemini-3-flash-preview,False,164,2
A334 ⊆ B334 ⟹ A334 ∪ C334 ⊆ B334 ∪ C334,True,1,6.594205617904663,gemini-3-flash-preview,False,166,2
inj f190 ⟷ (∀x190 y190. f190 x190 = f190 y190 ⟶ x190 = y190),True,1,9.487449884414673,gemini-3-flash-preview,False,168,2
(m121::nat) + Suc (n121::nat) = Suc (m121 + n121),True,1,6.6059300899505615,gemini-3-flash-preview,False,170,2
r295 O Id = r295,True,1,7.17752742767334,gemini-3-flash-preview,False,172,2
A201 ∧ B201 ⟶ B201,True,1,4.204254388809204,gemini-3-flash-preview,False,174,2
r79p ⊆ r79 ⟹ s79p ⊆ s79 ⟹ r79p O s79p ⊆ r79 O s79,True,1,6.543934106826782,gemini-3-flash-preview,False,176,2
set (rev xs157) = set xs157,True,1,6.617761850357056,gemini-3-flash-preview,False,178,2
converse (converse r81) = r81,True,1,6.685791969299316,gemini-3-flash-preview,False,180,2
map f123 (xs123 @ ys123) = map f123 xs123 @ map f123 ys123,True,1,7.471683502197266,gemini-3-flash-preview,False,182,2
(a58::nat) + (b58::nat) = b58 + a58,True,1,6.79279088973999,gemini-3-flash-preview,False,184,2
rev (xs369 @ ys369) = rev ys369 @ rev xs369,True,1,6.629737615585327,gemini-3-flash-preview,False,186,2
{x99∈A99. True} = A99,True,1,9.318598747253418,gemini-3-flash-preview,False,188,2
map f27 (xs27 @ ys27) = map f27 xs27 @ map f27 ys27,True,1,6.732806921005249,gemini-3-flash-preview,False,190,2
(m151::nat) + Suc (n151::nat) = Suc (m151 + n151),True,1,6.757128715515137,gemini-3-flash-preview,False,192,2
inj_on f186 A186 ⟷ (∀x186∈A186. ∀y186∈A186. f186 x186 = f186 y186 ⟶ x186 = y186),True,1,9.652160406112671,gemini-3-flash-preview,False,194,2
(m287::nat) + ((n287::nat) + m287) = n287 + (m287 + m287),True,1,6.7476418018341064,gemini-3-flash-preview,False,196,2
set (map f228 xs228) = f228 ` set xs228,True,1,6.883244037628174,gemini-3-flash-preview,False,198,2
A132 ∩ (B132 ∪ C132) = (A132 ∩ B132) ∪ (A132 ∩ C132),True,1,6.914061069488525,gemini-3-flash-preview,False,200,2
¬(A295 ∨ B295) ⟷ (¬A295 ∧ ¬B295),True,1,6.171026706695557,gemini-3-flash-preview,False,202,2
(m202::nat) + (n202::nat) = n202 + m202,True,1,6.71362566947937,gemini-3-flash-preview,False,204,2
converse (converse r256) = r256,True,1,6.57148003578186,gemini-3-flash-preview,False,206,2
(A209 ⟶ A209),True,1,6.367613077163696,gemini-3-flash-preview,False,208,2
rev (rev xs328) = xs328,True,1,6.682490110397339,gemini-3-flash-preview,False,210,2
(m214::nat) + (n214::nat) = n214 + m214,True,1,8.338653087615967,gemini-3-flash-preview,False,212,2
r278 ⊆ s278 ⟹ converse r278 ⊆ converse s278,True,1,6.694056510925293,gemini-3-flash-preview,False,214,2
map f371 (xs371 @ ys371) = map f371 xs371 @ map f371 ys371,True,1,6.526357889175415,gemini-3-flash-preview,False,216,2
x105 ∈ A105 ∩ B105 ⟷ x105 ∈ A105 ∧ x105 ∈ B105,True,1,7.284917593002319,gemini-3-flash-preview,False,218,2
x128 ∈ insert x128 A128 ⟷ True,True,1,8.397976636886597,gemini-3-flash-preview,False,220,2
(m399::nat) ≤ m399,True,1,6.7294602394104,gemini-3-flash-preview,False,222,2
A282 ⟶ A282 ∨ B282,True,1,4.130029678344727,gemini-3-flash-preview,False,224,2
(a347::nat) + ((b347::nat) + a347) = b347 + (a347 + a347),True,1,7.17351222038269,gemini-3-flash-preview,False,226,2
bij_betw f17 A17 B17 ⟹ y17 ∈ B17 ⟹ (∃x17∈A17. f17 x17 = y17),True,1,11.966159105300903,gemini-3-flash-preview,False,228,2
rev (xs73 @ ys73) = rev ys73 @ rev xs73,True,1,8.11671233177185,gemini-3-flash-preview,False,230,2
inj f100 ⟷ (∀x100 y100. f100 x100 = f100 y100 ⟶ x100 = y100),True,1,9.089318990707397,gemini-3-flash-preview,False,232,2
(a246::int) + (-a246) = 0,True,1,6.948200702667236,gemini-3-flash-preview,False,234,2
inj f280 ⟷ (∀x280 y280. f280 x280 = f280 y280 ⟶ x280 = y280),True,1,9.728068113327026,gemini-3-flash-preview,False,236,2
A47 ∩ B47 ⊆ A47,True,1,6.731033086776733,gemini-3-flash-preview,False,238,2
Id O r273 = r273,True,1,6.669341564178467,gemini-3-flash-preview,False,240,2
(m394::nat) + (n394::nat) = n394 + m394,True,1,6.791682958602905,gemini-3-flash-preview,False,242,2
(A198 ∧ (B198 ∨ C198)) ⟷ (A198 ∧ B198) ∨ (A198 ∧ C198),True,1,4.117754697799683,gemini-3-flash-preview,False,244,2
rev (xs489 @ ys489) = rev ys489 @ rev xs489,True,1,7.061946630477905,gemini-3-flash-preview,False,246,2
¬(A14 ∧ B14) ⟷ (¬A14 ∨ ¬B14),True,1,4.204633712768555,gemini-3-flash-preview,False,248,2
x79 ∈ set (map f79 xs79) ⟷ (∃y∈set xs79. f79 y = x79),True,1,10.712697267532349,gemini-3-flash-preview,False,250,2
¬(A125 ∨ B125) ⟷ (¬A125 ∧ ¬B125),True,1,4.206599712371826,gemini-3-flash-preview,False,252,2
(m38::nat) ≤ m38 + (n38::nat),True,1,6.619435787200928,gemini-3-flash-preview,False,254,2
set (map f476 xs476) = f476 ` set xs476,True,1,6.6757965087890625,gemini-3-flash-preview,False,256,2
length (map f98 xs98) = length xs98,True,1,8.456446409225464,gemini-3-flash-preview,False,258,2
bij_betw f259 A259 B259 ⟹ f259 ` A259 = B259,True,2,59.63250494003296,gemini-3-flash-preview,False,277,3
rev (xs225 @ ys225) = rev ys225 @ rev xs225,True,1,6.719524621963501,gemini-3-flash-preview,False,279,2
trans r363 ⟹ r363 O r363 ⊆ r363,True,1,7.761852979660034,gemini-3-flash-preview,False,281,2
(m205::nat) + Suc (n205::nat) = Suc (m205 + n205),True,1,6.740514278411865,gemini-3-flash-preview,False,283,2
(a92::int) - a92 = 0,True,1,6.705229043960571,gemini-3-flash-preview,False,285,2
x287 ∈ set (map f287 xs287) ⟷ (∃y∈set xs287. f287 y = x287),True,1,26.567911386489868,gemini-3-flash-preview,False,289,2
(m327::nat) ≤ m327,True,1,7.177964687347412,gemini-3-flash-preview,False,291,2
f66 ` (A66 ∩ B66) ⊆ f66 ` A66 ∩ f66 ` B66,True,1,6.580615282058716,gemini-3-flash-preview,False,293,2
A76 ⊆ A76 ∪ B76,True,1,7.654606103897095,gemini-3-flash-preview,False,295,2
r271 ⊆ s271 ⟹ converse r271 ⊆ converse s271,True,1,6.870522975921631,gemini-3-flash-preview,False,297,2
A448 ∪ (B448 ∩ C448) = (A448 ∪ B448) ∩ (A448 ∪ C448),True,1,7.090214729309082,gemini-3-flash-preview,False,299,2
(converse (r367 O s367)) = converse s367 O converse r367,True,1,11.307100534439087,gemini-3-flash-preview,False,301,2
(m137::nat) + ((n137::nat) + m137) = n137 + (m137 + m137),True,1,8.876806735992432,gemini-3-flash-preview,False,303,2
map f491 (xs491 @ ys491) = map f491 xs491 @ map f491 ys491,True,1,7.005631923675537,gemini-3-flash-preview,False,305,2
f20 ` (A20 ∪ B20) = f20 ` A20 ∪ f20 ` B20,True,1,6.951550245285034,gemini-3-flash-preview,False,307,2
x8 ∈ insert x8 A8 ⟷ True,True,1,7.101450681686401,gemini-3-flash-preview,False,309,2
(m197::nat) + ((n197::nat) + m197) = n197 + (m197 + m197),True,1,6.697102069854736,gemini-3-flash-preview,False,311,2
(A178 ∧ (B178 ∨ C178)) ⟷ (A178 ∧ B178) ∨ (A178 ∧ C178),True,1,4.143766403198242,gemini-3-flash-preview,False,313,2
(converse (r115 O s115)) = converse s115 O converse r115,True,1,12.793297052383423,gemini-3-flash-preview,False,315,2
{x329∈A329. P x329} ⊆ A329,True,1,9.191820621490479,gemini-3-flash-preview,False,317,2
x322 ∈ insert x322 A322,True,1,6.960465908050537,gemini-3-flash-preview,False,319,2
(converse (r87 O s87)) = converse s87 O converse r87,True,1,11.880302429199219,gemini-3-flash-preview,False,321,2
(0::int) ≤ abs (a207::int),True,1,7.285391569137573,gemini-3-flash-preview,False,323,2
r135p ⊆ r135 ⟹ s135p ⊆ s135 ⟹ r135p O s135p ⊆ r135 O s135,True,1,6.668453216552734,gemini-3-flash-preview,False,325,2
(a120::int) + (-a120) = 0,True,1,7.213187217712402,gemini-3-flash-preview,False,327,2
- ((a199::int) + (b199::int)) = (-a199) + (-b199),True,1,7.7105183601379395,gemini-3-flash-preview,False,329,2
rev (xs209 @ ys209) = rev ys209 @ rev xs209,True,1,6.76787257194519,gemini-3-flash-preview,False,331,2
set (map f268 xs268) = f268 ` set xs268,True,1,6.820583343505859,gemini-3-flash-preview,False,333,2
A87 ∩ (B87 ∪ C87) = (A87 ∩ B87) ∪ (A87 ∩ C87),True,1,6.639909982681274,gemini-3-flash-preview,False,335,2
bij_betw f278 A278 B278 ⟹ inj_on f278 A278,True,1,13.43752646446228,gemini-3-flash-preview,False,338,2
(m224::nat) ≤ m224 + (n224::nat),True,1,6.980074167251587,gemini-3-flash-preview,False,340,2
(A146 ⟶ C146) ⟶ ((B146 ⟶ C146) ⟶ (A146 ∨ B146 ⟶ C146)),True,1,6.390282392501831,gemini-3-flash-preview,False,342,2
A287 ∩ B287 ⊆ A287,True,1,6.603935241699219,gemini-3-flash-preview,False,344,2
(A58 ∧ (B58 ∨ C58)) ⟷ (A58 ∧ B58) ∨ (A58 ∧ C58),True,1,4.211593151092529,gemini-3-flash-preview,False,346,2
(A197 ⟶ B197) ⟷ (¬A197 ∨ B197),True,1,4.210500717163086,gemini-3-flash-preview,False,348,2
set (rev xs437) = set xs437,True,1,8.059661388397217,gemini-3-flash-preview,False,350,2
A30 ∧ B30 ⟶ A30,True,1,4.214956760406494,gemini-3-flash-preview,False,352,2
Id O r56 = r56,True,1,6.927743196487427,gemini-3-flash-preview,False,354,2
bij_betw f163 A163 B163 ⟹ f163 ` A163 = B163,True,2,58.34753751754761,gemini-3-flash-preview,False,373,3
length (map f426 xs426) = length xs426,True,1,6.814672231674194,gemini-3-flash-preview,False,375,2
(m373::nat) + Suc (n373::nat) = Suc (m373 + n373),True,1,6.5558412075042725,gemini-3-flash-preview,False,377,2
(m144::nat) + 0 = m144,True,1,6.8675148487091064,gemini-3-flash-preview,False,379,2
map f355 (xs355 @ ys355) = map f355 xs355 @ map f355 ys355,True,1,6.478001832962036,gemini-3-flash-preview,False,381,2
f426 ` (A426 ∩ B426) ⊆ f426 ` A426 ∩ f426 ` B426,True,1,6.903562545776367,gemini-3-flash-preview,False,383,2
Id O r210 = r210,True,1,6.812713623046875,gemini-3-flash-preview,False,385,2
f425 ` (A425 ∪ B425) = f425 ` A425 ∪ f425 ` B425,True,1,9.124150037765503,gemini-3-flash-preview,False,387,2
converse (converse r333) = r333,True,1,6.535915851593018,gemini-3-flash-preview,False,389,2
(m77::nat) + ((n77::nat) + m77) = n77 + (m77 + m77),True,1,6.495802402496338,gemini-3-flash-preview,False,391,2
set (map f164 xs164) = f164 ` set xs164,True,1,6.570688724517822,gemini-3-flash-preview,False,393,2
x337 ∈ insert x337 A337,True,1,6.620408773422241,gemini-3-flash-preview,False,395,2
f366 ` (A366 ∩ B366) ⊆ f366 ` A366 ∩ f366 ` B366,True,1,8.076444387435913,gemini-3-flash-preview,False,397,2
A351 ∧ B351 ⟶ B351,True,1,4.210859060287476,gemini-3-flash-preview,False,399,2
surj f81 ⟷ (∀y81. ∃x81. f81 x81 = y81),True,1,9.600693702697754,gemini-3-flash-preview,False,401,2
A343 ∪ (B343 ∩ C343) = (A343 ∪ B343) ∩ (A343 ∪ C343),True,1,6.710421085357666,gemini-3-flash-preview,False,403,2
{x24∈A24. True} = A24,True,1,10.835078716278076,gemini-3-flash-preview,False,405,2
- ((a43::int) + (b43::int)) = (-a43) + (-b43),True,1,6.581326484680176,gemini-3-flash-preview,False,407,2
bij_betw f263 A263 B263 ⟹ y263 ∈ B263 ⟹ (∃x263∈A263. f263 x263 = y263),True,1,13.090486526489258,gemini-3-flash-preview,False,409,2
¬(A264 ∧ B264) ⟷ (¬A264 ∨ ¬B264),True,1,4.207414627075195,gemini-3-flash-preview,False,411,2
bij_betw f149 A149 B149 ⟹ y149 ∈ B149 ⟹ (∃x149∈A149. f149 x149 = y149),True,1,14.627297639846802,gemini-3-flash-preview,False,413,2
r310p ⊆ r310 ⟹ s310p ⊆ s310 ⟹ r310p O s310p ⊆ r310 O s310,True,1,6.837289094924927,gemini-3-flash-preview,False,415,2
inj f142 ⟷ (∀x142 y142. f142 x142 = f142 y142 ⟶ x142 = y142),True,1,8.994840383529663,gemini-3-flash-preview,False,417,2
(A247 ⟶ B247) ⟷ (¬A247 ∨ B247),True,1,4.216760635375977,gemini-3-flash-preview,False,419,2
(m44::nat) ≤ m44 + (n44::nat),True,1,7.046300649642944,gemini-3-flash-preview,False,421,2
A62 ∩ B62 ⊆ A62,True,1,6.746419191360474,gemini-3-flash-preview,False,423,2
Id O r42 = r42,True,1,6.6089301109313965,gemini-3-flash-preview,False,425,2
A342 ∩ (B342 ∪ C342) = (A342 ∩ B342) ∪ (A342 ∩ C342),True,1,7.037932872772217,gemini-3-flash-preview,False,427,2
A407 ∩ B407 ⊆ A407,True,1,6.743759393692017,gemini-3-flash-preview,False,429,2
A193 ∪ (B193 ∩ C193) = (A193 ∪ B193) ∩ (A193 ∪ C193),True,1,6.7710583209991455,gemini-3-flash-preview,False,431,2
A102 ∩ (B102 ∪ C102) = (A102 ∩ B102) ∪ (A102 ∩ C102),True,1,6.702503681182861,gemini-3-flash-preview,False,433,2
length (map f194 xs194) = length xs194,True,1,6.694998264312744,gemini-3-flash-preview,False,435,2
(A288 ∧ (B288 ∨ C288)) ⟷ (A288 ∧ B288) ∨ (A288 ∧ C288),True,1,4.215898752212524,gemini-3-flash-preview,False,437,2
(a40::nat) + (b40::nat) = b40 + a40,True,1,6.706313610076904,gemini-3-flash-preview,False,439,2
map f467 (xs467 @ ys467) = map f467 xs467 @ map f467 ys467,True,1,6.713215351104736,gemini-3-flash-preview,False,441,2
(m371::nat) + ((n371::nat) + m371) = n371 + (m371 + m371),True,1,7.8189427852630615,gemini-3-flash-preview,False,443,2
¬(A64 ∧ B64) ⟷ (¬A64 ∨ ¬B64),True,1,4.213005781173706,gemini-3-flash-preview,False,445,2
(m324::nat) + 0 = m324,True,1,6.782077312469482,gemini-3-flash-preview,False,447,2
¬(A284 ∧ B284) ⟷ (¬A284 ∨ ¬B284),True,1,4.219746351242065,gemini-3-flash-preview,False,449,2
map f203 (xs203 @ ys203) = map f203 xs203 @ map f203 ys203,True,1,6.329524278640747,gemini-3-flash-preview,False,451,2
A466 ⊆ A466 ∪ B466,True,1,7.547209024429321,gemini-3-flash-preview,False,453,2
¬(A185 ∨ B185) ⟷ (¬A185 ∧ ¬B185),True,1,4.223867654800415,gemini-3-flash-preview,False,455,2
A171 ∧ B171 ⟶ B171,True,1,4.208724021911621,gemini-3-flash-preview,False,457,2
(m374::nat) ≤ m374 + (n374::nat),True,1,6.624838590621948,gemini-3-flash-preview,False,459,2
inj f292 ⟷ (∀x292 y292. f292 x292 = f292 y292 ⟶ x292 = y292),True,1,9.02059006690979,gemini-3-flash-preview,False,461,2
bij_betw f289 A289 B289 ⟹ f289 ` A289 = B289,True,2,60.68722748756409,gemini-3-flash-preview,False,480,3
map f147 (xs147 @ ys147) = map f147 xs147 @ map f147 ys147,True,1,6.360342502593994,gemini-3-flash-preview,False,482,2
inj_on f48 A48 ⟷ (∀x48∈A48. ∀y48∈A48. f48 x48 = f48 y48 ⟶ x48 = y48),True,1,11.110196113586426,gemini-3-flash-preview,False,484,2
A362 ⟶ A362 ∨ B362,True,1,4.215620279312134,gemini-3-flash-preview,False,486,2
(m168::nat) + 0 = m168,True,1,6.744764804840088,gemini-3-flash-preview,False,488,2
set (rev xs421) = set xs421,True,1,6.625005483627319,gemini-3-flash-preview,False,490,2
Id O r77 = r77,True,1,6.71558403968811,gemini-3-flash-preview,False,492,2
(a251::nat) + ((b251::nat) + a251) = b251 + (a251 + a251),True,1,6.965988636016846,gemini-3-flash-preview,False,494,2
(A286 ⟶ C286) ⟶ ((B286 ⟶ C286) ⟶ (A286 ∨ B286 ⟶ C286)),True,1,7.801664352416992,gemini-3-flash-preview,False,496,2
map f227 (xs227 @ ys227) = map f227 xs227 @ map f227 ys227,True,1,6.328446388244629,gemini-3-flash-preview,False,498,2
A62 ⟶ A62 ∨ B62,True,1,4.230090618133545,gemini-3-flash-preview,False,500,2
bij_betw f170 A170 B170 ⟹ inj_on f170 A170,True,1,11.565460205078125,gemini-3-flash-preview,False,503,2
f170 ` (A170 ∪ B170) = f170 ` A170 ∪ f170 ` B170,True,1,7.645179510116577,gemini-3-flash-preview,False,505,2
f21 ` (A21 ∩ B21) ⊆ f21 ` A21 ∩ f21 ` B21,True,1,6.905796766281128,gemini-3-flash-preview,False,507,2
(m143::nat) + ((n143::nat) + m143) = n143 + (m143 + m143),True,1,6.467136383056641,gemini-3-flash-preview,False,509,2
(m35::nat) + ((n35::nat) + m35) = n35 + (m35 + m35),True,1,6.516566514968872,gemini-3-flash-preview,False,511,2
{x174∈A174. True} = A174,True,1,9.298183679580688,gemini-3-flash-preview,False,513,2
f50 ` (A50 ∪ B50) = f50 ` A50 ∪ f50 ` B50,True,1,9.9558265209198,gemini-3-flash-preview,False,515,2
x311 ∈ set (map f311 xs311) ⟷ (∃y∈set xs311. f311 y = x311),True,1,20.287369966506958,gemini-3-flash-preview,False,519,2
bij_betw f182 A182 B182 ⟹ inj_on f182 A182,True,1,12.9769868850708,gemini-3-flash-preview,False,522,2
surj f69 ⟷ (∀y69. ∃x69. f69 x69 = y69),True,1,9.241552829742432,gemini-3-flash-preview,False,524,2
bij_betw f101 A101 B101 ⟹ y101 ∈ B101 ⟹ (∃x101∈A101. f101 x101 = y101),True,1,12.722508668899536,gemini-3-flash-preview,False,526,2
f471 ` (A471 ∩ B471) ⊆ f471 ` A471 ∩ f471 ` B471,True,1,8.030446529388428,gemini-3-flash-preview,False,528,2
(m233::nat) + ((n233::nat) + m233) = n233 + (m233 + m233),True,1,6.802828550338745,gemini-3-flash-preview,False,530,2
(a275::nat) + ((b275::nat) + a275) = b275 + (a275 + a275),True,1,6.775933504104614,gemini-3-flash-preview,False,532,2
bij_betw f217 A217 B217 ⟹ f217 ` A217 = B217,True,2,61.55247640609741,gemini-3-flash-preview,False,551,3
rev (xs97 @ ys97) = rev ys97 @ rev xs97,True,1,6.411670207977295,gemini-3-flash-preview,False,553,2
(m170::nat) ≤ m170 + (n170::nat),True,1,6.969221353530884,gemini-3-flash-preview,False,555,2
